gene_id,s_dmso,s_drb_1,s_flavopiridol_2,s_triptolide_3
AALF000426,0,0,0,0
AALF000431,759,362,243,344
AALF000432,2,0,0,2
AALF000433,1,0,0,0
AALF000437,0,0,0,0
AALF000438,0,0,0,0
AALF000439,0,0,0,0
AALF000440,0,0,0,0
AALF000442,1,0,1,0
AALF000443,27,5,1,8
AALF000446,0,0,0,0
AALF000451,0,0,0,0
AALF000453,1,0,0,0
AALF000455,0,0,0,0
AALF000456,0,0,0,0
AALF000457,70,146,111,13
AALF000464,0,0,0,0
AALF000470,0,0,0,0
AALF000475,1,4,0,2
AALF000476,0,0,0,0
AALF000477,4,5,0,3
AALF000478,0,0,1,0
AALF000479,0,0,0,3
AALF000487,3,6,1,0
AALF000489,321,133,113,181
AALF000490,10,5,8,0
AALF000491,2,2,1,1
AALF000498,57,9,14,16
AALF000499,0,0,0,0
AALF000500,0,0,0,0
AALF000501,8,15,9,1
AALF000518,0,1,0,0
AALF000519,0,0,0,0
AALF000520,0,0,0,0
AALF000521,0,0,0,0
AALF000522,0,0,0,0
AALF000523,0,0,0,0
AALF000529,56,64,31,57
AALF000530,77,62,33,42
AALF000531,4,0,6,0
AALF000533,23,32,19,19
AALF000534,0,0,0,0
AALF000537,49,2,3,1
AALF000538,321,392,267,301
AALF000539,22,12,7,12
AALF000544,0,0,0,0
AALF000545,0,0,0,0
AALF000550,0,0,0,1
AALF000551,0,0,0,0
AALF000552,144,107,66,69
AALF000553,143,59,74,14
AALF000554,0,0,0,0
AALF000555,0,0,0,0
AALF000556,298,173,164,144
AALF000557,0,0,0,0
AALF000558,0,0,0,0
AALF000559,0,0,0,0
AALF000560,1,4,3,1
AALF000561,8,4,4,1
AALF000562,79,9,13,7
AALF000563,165,70,50,86
AALF000565,0,0,0,0
AALF000566,45,19,4,5
AALF000567,0,0,0,4
AALF000568,4,2,2,0
AALF000569,21,4,4,7
AALF000570,1,0,0,1
AALF000579,0,0,0,0
AALF000580,0,0,0,0
AALF000581,0,0,0,0
AALF000582,0,0,0,0
AALF000583,72,17,20,26
AALF000584,26,21,15,7
AALF000585,103,83,81,60
AALF000586,42,42,39,42
AALF000587,4,2,1,0
AALF000588,6,0,1,0
AALF000590,38,43,51,11
AALF000591,266,110,60,70
AALF000592,0,0,0,0
AALF000593,61,50,27,12
AALF000594,0,0,0,0
AALF000595,2,0,1,0
AALF000596,21,12,5,10
AALF000598,0,0,0,0
AALF000600,0,0,0,0
AALF000601,28,7,7,4
AALF000602,0,0,0,0
AALF000603,55,33,34,35
AALF000604,324,302,225,308
AALF000605,0,0,0,0
AALF000606,0,0,0,0
AALF000607,0,0,0,0
AALF000608,0,1,0,0
AALF000610,0,0,0,0
AALF000611,20,3,3,0
AALF000612,0,0,0,0
AALF000613,10,4,3,3
AALF000614,306,60,34,56
AALF000616,485,276,178,196
AALF000617,2758,2716,2045,2626
AALF000619,2,4,0,1
AALF000620,31,7,3,3
AALF000621,46,28,22,32
AALF000622,0,0,0,0
AALF000634,5,0,0,0
AALF000636,13,2,3,0
AALF000637,20,9,6,3
AALF000646,0,0,0,0
AALF000647,0,0,0,0
AALF000656,0,0,0,2
AALF000657,0,0,0,0
AALF000658,0,0,0,0
AALF000665,99,100,58,93
AALF000666,0,0,0,0
AALF000667,0,0,0,0
AALF000668,625,804,548,759
AALF000669,213,30,27,37
AALF000670,725,579,464,500
AALF000671,0,0,0,0
AALF000672,0,0,0,0
AALF000687,0,0,0,0
AALF000688,52,22,21,8
AALF000689,2,5,2,2
AALF000690,43,59,34,19
AALF000691,0,0,0,0
AALF000692,0,0,0,0
AALF000695,0,0,1,0
AALF000696,0,0,0,0
AALF000697,0,0,0,0
AALF000698,0,0,0,0
AALF000710,61,114,73,117
AALF000712,0,0,0,0
AALF000718,0,0,0,0
AALF000719,0,0,0,0
AALF000723,37,39,18,28
AALF000725,70,33,42,61
AALF000726,105,106,66,77
AALF000727,24,1,3,3
AALF000728,81,50,29,51
AALF000730,334,145,114,23
AALF000742,0,0,0,0
AALF000750,13,28,16,34
AALF000751,66,2,13,13
AALF000753,272,185,78,90
AALF000758,0,0,0,0
AALF000765,5,0,1,3
AALF000766,0,0,0,0
AALF000767,121,48,30,8
AALF000769,0,0,0,0
AALF000770,0,0,0,0
AALF000778,0,0,0,0
AALF000779,5,8,2,10
AALF000780,0,6,0,4
AALF000782,983,861,573,689
AALF000783,1177,376,257,289
AALF000784,103,65,44,32
AALF000788,0,0,0,0
AALF000790,0,0,0,0
AALF000791,0,0,0,0
AALF000793,0,0,0,0
AALF000794,381,140,97,90
AALF000796,0,0,0,1
AALF000797,0,0,0,0
AALF000799,23,9,3,2
AALF000800,0,7,4,5
AALF000803,2449,3403,2447,3327
AALF000804,0,0,0,0
AALF000805,12,0,0,2
AALF000806,130,35,31,31
AALF000812,21,8,9,16
AALF000813,0,0,0,0
AALF000820,16,2,2,0
AALF000824,78,5,9,15
AALF000825,331,54,39,38
AALF000827,0,0,0,0
AALF000828,702,853,531,682
AALF000829,312,302,252,317
AALF000831,106,78,65,54
AALF000832,52,48,43,88
AALF000833,161,173,102,132
AALF000834,98,58,35,53
AALF000840,0,0,0,0
AALF000842,1,0,2,0
AALF000844,0,0,0,0
AALF000850,6,8,14,16
AALF000851,0,2,0,3
AALF000852,395,380,292,336
AALF000854,0,0,0,0
AALF000855,10,13,9,12
AALF000856,50,84,73,67
AALF000857,7,1,0,1
AALF000865,20,14,10,16
AALF000867,1,10,3,7
AALF000876,0,0,0,0
AALF000877,238,152,162,159
AALF000878,204,52,38,30
AALF000879,72,110,88,9
AALF000894,2,3,0,0
AALF000895,253,242,160,213
AALF000905,0,0,0,0
AALF000910,401,376,249,348
AALF000911,8,4,0,0
AALF000912,51,0,0,0
AALF000913,22,14,10,0
AALF000914,14,5,3,5
AALF000915,171,16,12,21
AALF000916,13,1,3,4
AALF000923,0,0,0,0
AALF000924,45,12,3,12
AALF000925,323,184,134,163
AALF000926,21,3,7,22
AALF000927,122,101,72,116
AALF000929,157,52,73,11
AALF000934,13,11,5,13
AALF000935,34,17,9,42
AALF000936,29,9,5,3
AALF000937,10,5,1,0
AALF000938,3,3,1,3
AALF000939,8,1,2,3
AALF000940,72,35,30,46
AALF000943,98,64,51,68
AALF000944,0,0,0,0
AALF000945,0,0,0,1
AALF000946,69,95,74,73
AALF000947,0,0,0,0
AALF000948,225,229,150,238
AALF000949,150,168,91,146
AALF000950,24,7,21,8
AALF000951,50,36,19,4
AALF000952,1009,571,639,698
AALF000953,0,0,0,1
AALF000954,9,5,2,3
AALF000956,15,22,14,25
AALF000961,0,0,0,0
AALF000962,0,0,0,0
AALF000963,54,43,25,22
AALF000964,102,106,22,21
AALF000967,0,0,0,0
AALF000968,0,2,0,0
AALF000969,0,0,0,1
AALF000970,64,25,20,28
AALF000971,242,70,53,71
AALF000972,0,0,0,0
AALF000973,0,0,0,0
AALF000974,0,0,0,0
AALF000975,85,54,48,68
AALF000983,172,79,34,23
AALF000985,7,2,6,5
AALF000991,0,0,0,0
AALF000993,0,0,0,0
AALF000997,0,0,0,0
AALF000998,0,0,0,0
AALF000999,0,0,0,0
AALF001000,6,1,1,0
AALF001002,0,0,0,0
AALF001011,12,19,11,4
AALF001012,5,1,0,0
AALF001021,0,0,0,0
AALF001022,1,0,0,0
AALF001023,0,0,0,0
AALF001024,3,0,0,0
AALF001025,0,0,0,0
AALF001026,0,0,0,0
AALF001027,0,0,0,0
AALF001028,0,0,0,0
AALF001031,0,0,0,0
AALF001032,0,1,0,1
AALF001034,19,25,12,8
AALF001035,22,8,14,17
AALF001036,3,0,0,1
AALF001045,28,39,28,12
AALF001046,0,0,0,0
AALF001047,1,0,0,0
AALF001048,0,0,0,0
AALF001049,0,0,0,0
AALF001050,250,59,40,45
AALF001051,158,194,110,165
AALF001061,0,0,0,0
AALF001062,9,7,0,1
AALF001063,57,22,3,10
AALF001069,12,41,34,16
AALF001071,2,0,0,0
AALF001072,19,1,9,8
AALF001073,153,46,36,19
AALF001074,51,21,25,11
AALF001075,0,0,0,0
AALF001081,0,0,0,0
AALF001082,211,218,150,181
AALF001085,0,0,0,0
AALF001086,0,0,0,0
AALF001087,0,0,0,0
AALF001088,0,0,0,0
AALF001090,0,0,0,0
AALF001092,11,12,7,3
AALF001093,2520,3211,1983,2376
AALF001094,29,27,22,12
AALF001095,275,219,115,133
AALF001096,5,3,8,5
AALF001097,0,0,0,0
AALF001098,0,0,1,0
AALF001099,31,23,11,5
AALF001100,189,108,66,85
AALF001101,209,106,95,69
AALF001104,0,0,0,1
AALF001105,3,0,0,0
AALF001106,101,16,13,4
AALF001107,65,42,20,11
AALF001108,57,58,25,5
AALF001109,123,32,16,14
AALF001110,0,0,0,0
AALF001113,10,7,9,4
AALF001114,385,236,117,20
AALF001115,113,55,41,13
AALF001116,38,12,6,6
AALF001117,97,32,31,14
AALF001118,14,3,0,0
AALF001119,163,18,17,16
AALF001120,30,11,0,2
AALF001121,6,11,1,6
