gene_ID,dmso,drb,flavopiridol,triptolide
AALF000489-RA,17,8,4,16
AALF000490-RA,3,0,1,0
AALF000498-RA,9,3,6,3
AALF000499-RA,0,0,0,0
AALF000500-RA,0,0,0,0
AALF000501-RA,2,3,2,0
AALF000520-RA,1,0,0,0
AALF000529-RA,42,47,26,41
AALF000530-RA,18,16,14,4
AALF000533-RA,2,6,3,4
AALF000534-RA,0,0,2,0
AALF000537-RA,3,1,0,0
AALF000538-RA,16,15,16,16
AALF000539-RA,22,12,7,12
AALF000544-RA,0,0,0,0
AALF000550-RA,0,0,0,1
AALF000552-RA,35,27,12,14
AALF000553-RA,14,2,4,2
AALF000554-RA,0,0,0,0
AALF000556-RA,26,20,12,18
AALF000557-RA,0,0,0,0
AALF000559-RA,0,0,0,0
AALF000560-RA,0,0,0,0
AALF000562-RA,16,3,5,3
AALF000563-RA,7,1,0,5
AALF000566-RA,30,19,8,8
AALF000567-RA,0,0,0,0
AALF000568-RA,0,0,0,0
AALF000569-RA,0,0,0,0
AALF000570-RA,0,0,0,0
AALF000579-RA,0,0,0,2
AALF000583-RA,0,0,0,0
AALF000584-RA,4,2,0,1
AALF000585-RA,31,28,23,17
AALF000586-RA,1,0,0,0
AALF000587-RA,0,0,1,0
AALF000590-RA,1,0,0,0
AALF000591-RA,49,29,4,11
AALF000592-RA,0,0,0,1
AALF000593-RA,25,17,6,6
AALF000594-RA,0,0,0,0
AALF000595-RA,0,0,0,0
AALF000596-RA,3,3,0,4
AALF000601-RA,0,0,0,0
AALF000602-RA,0,0,0,0
AALF000603-RA,63,38,33,31
AALF000604-RA,83,74,49,65
AALF000605-RA,38,18,7,5
AALF000606-RA,0,0,0,0
AALF000607-RA,0,0,0,0
AALF000608-RA,0,0,0,0
AALF000610-RA,0,0,0,0
AALF000611-RA,47,30,33,45
AALF000614-RA,1,0,0,0
AALF000616-RA,22,13,10,7
AALF000617-RA,15,12,7,5
AALF000620-RA,2,0,0,0
AALF000621-RA,6,3,2,3
AALF000622-RA,2,0,0,0
AALF000634-RA,1,0,0,0
AALF000646-RA,0,0,0,0
AALF000647-RA,0,1,0,0
AALF000656-RA,0,0,0,0
AALF000665-RA,35,41,17,19
AALF000667-RA,0,0,0,0
AALF000668-RA,79,108,53,94
AALF000669-RA,40,8,6,10
AALF000670-RA,135,133,102,109
AALF000672-RA,0,0,0,0
AALF000688-RA,12,2,5,1
AALF000689-RA,0,3,2,3
AALF000692-RA,0,0,0,0
AALF000695-RA,0,0,0,0
AALF000697-RA,0,0,0,0
AALF000698-RA,0,0,0,0
AALF000710-RA,8,18,8,6
AALF000712-RA,0,0,0,0
AALF000723-RA,140,46,36,35
AALF000725-RA,3,3,3,3
AALF000726-RA,0,0,0,0
AALF000727-RA,0,0,0,0
AALF000728-RA,37,21,13,24
AALF000730-RA,63,39,24,9
AALF000742-RA,0,0,0,0
AALF000750-RA,1,0,0,2
AALF000751-RA,16,2,4,1
AALF000753-RA,51,58,29,23
AALF000765-RA,2,0,0,1
AALF000769-RA,0,0,0,0
AALF000770-RA,0,0,0,0
AALF000778-RA,1,0,1,0
AALF000779-RA,5,2,1,4
AALF000780-RA,0,1,0,2
AALF000782-RA,46,46,28,30
AALF000783-RA,99,28,27,30
AALF000784-RA,22,12,7,5
AALF000788-RA,0,0,0,0
AALF000793-RA,0,0,0,0
AALF000797-RA,0,0,0,0
AALF000799-RA,3,0,1,2
AALF000800-RA,0,2,1,3
AALF000803-RA,249,287,208,272
AALF000804-RA,0,0,0,0
AALF000805-RA,1,0,0,0
AALF000806-RA,12,2,0,5
AALF000812-RA,6,4,1,3
AALF000813-RA,0,0,0,0
AALF000820-RA,2,0,0,0
AALF000824-RA,10,20,10,24
AALF000825-RA,27,5,5,7
AALF000828-RA,202,248,160,187
AALF000829-RA,175,157,132,174
AALF000831-RA,0,3,4,2
AALF000832-RA,4,7,2,11
AALF000833-RA,0,0,0,0
AALF000834-RA,18,10,7,3
AALF000842-RA,0,0,1,0
AALF000844-RA,1,0,0,0
AALF000852-RA,0,1,0,0
AALF000854-RA,2,0,0,1
AALF000855-RA,0,1,2,0
AALF000856-RA,29,30,30,27
AALF000857-RA,1,1,0,0
AALF000865-RA,20,10,13,16
AALF000867-RA,0,3,2,5
AALF000876-RA,0,0,0,0
AALF000877-RA,40,20,34,32
AALF000878-RA,117,18,12,8
