gene_ID,dmso,drb,flavopiridol,triptolide
AALF004595,38.2442188260982,32.2637749064565,36.0284340495745,30.9305456638463
AALF004597,0.85812006199999,0.442761641508017,0,0
AALF004602,0,0,0,0
AALF004603,36.8915438430192,11.5225613733012,14.2890850947423,13.5583419278053
AALF004604,101.881024553269,110.053067830988,110.973274516473,85.3667370696296
AALF004605,176.938983038413,257.832840828847,268.307005976628,291.98765511357
AALF004606,0,0,0,0
AALF004610,0,0,0,0
AALF004611,0.346670282719146,0.1117940179905,0.571987613086956,0.263091073641062
AALF004612,179.315310733479,68.6444530130578,59.3842404547757,63.2131845871532
AALF004613,53.9232990366746,7.72851202888036,10.9840232847023,7.27517469673119
AALF004614,0,0,0,0
AALF004616,737.070006349984,533.267329992745,412.189926420671,388.599627386582
AALF004617,105.763781907899,71.8513192054433,31.0230472546716,24.6146147658779
AALF004618,0,1.52811539989493,0,1.79809943515923
AALF004620,11.1741844467444,6.34206157619164,6.14560425135025,0.678414811929858
AALF004626,0,0,0,0
AALF004627,0,0,0,0
AALF004628,0,0,0,0
AALF004629,110.723103522238,14.0317992856023,17.0935446938054,7.07610275229327
AALF004631,0,0,0,0
AALF004632,0,0,0,0
AALF004633,0,0,0,0
AALF004636,45.6820215005695,27.8010034702884,34.7875001449807,23.4678947779806
AALF004637,0,0.0598800793280931,0,0.0704595587640418
AALF004638,0,0,0,0
AALF004639,0,0,0,0
AALF004640,3.48093279236251,1.19736432027428,1.70173476149325,0.70445599465624
AALF004641,29.1832086546797,17.7147916167595,17.6238036523089,17.3705013826447
AALF004642,1.37642054598118,0,0,0
AALF004643,0.332145231807903,0.0489645662042003,0.208770304025858,0.172846551066712
AALF004644,3.09467340721265,0.798374690433876,0,0.939429757735104
AALF004645,0.771516756562491,0.442307992285161,0,0.520453986098854
AALF004646,6.02538006496906,3.73067679418793,1.76738810877309,0
AALF004647,0,0,0,0
AALF004653,270.618518173135,88.9187517290584,159.94252940221,94.8197768807298
AALF004654,0,0,0,0
AALF004655,326.332708714035,123.225560974718,114.972378823782,102.936644940559
AALF004657,0,0,0,0
AALF004658,3.12210909102905,1.89106273007046,2.18993089106523,2.30758525263104
AALF004659,0,1.75944582433317,0,0
AALF004660,0,0.764057699947464,0,0
AALF004661,2.08422399400353,6.45234491806168,3.05676377531573,0
AALF004662,0.881364849232495,0,0,0
AALF004663,6.91052439309726,0,0,0
AALF004664,10.3019690820579,10.6309523422769,9.06544190885193,0
AALF004668,0,0,0,0
AALF004676,0,0,0,0
AALF004677,0,0,0,0
AALF004679,0,0,0,0
AALF004680,0,0,0,0
AALF004681,3.51751917306302,0,0,0
AALF004682,7.3981306815808,5.69730053411052,6.31581338870383,5.40780213167813
AALF004683,568.691088914558,321.892526002867,367.232511818547,354.285851116857
AALF004684,0,0,1.86525650567583,1.54429604040277
AALF004685,5.76389441038011,2.19992993566269,2.08441000007374,3.93085020435786
AALF004686,0,0,0,0
AALF004689,0.1952874099083,0.201523721459968,0.286412344402708,0
AALF004693,0,0,0,0
AALF004694,1.51672612929572,0.695627239086044,0.617905633309633,0.511580696788342
AALF004696,0,0,0,0
AALF004697,0,0,0,0
AALF004698,1.30233282426651,0.339672477995863,0.283355632352275,0.434440279428854
