gene_ID,dmso,drb,flavopiridol,triptolide
AALF000001,0,0,0,0
AALF000002,0,0,0,0
AALF000003,0,0,0,0
AALF000004,0,0,0,0
AALF000005,0.151963399666578,0.156816201520094,0.222872501521464,0.0922610698761642
AALF000006,0.0277662676661409,0.057305912283457,0.0203612762883863,0
AALF000009,0,0,0.0307388344646777,0
AALF000010,1.08356511066604,0.591971134127006,0.747848393852072,0.619163803977123
AALF000011,0,0,0.0678878182860083,0
AALF000015,0,0,0,0
AALF000016,0.0142958916779153,0.0147524169319203,0,0.0520765235812881
AALF000018,0,0,0,0
AALF000019,0,0,0,0.172818548385291
AALF000021,0,0,0,0
AALF000023,0,7.52327353516735,0,11.8032917278917
AALF000024,2.75499933664442,0.947659177825863,1.3468453482771,1.67263424525004
AALF000028,9.51935432555329,1.40333507892828,3.98893477181294,3.85297080978198
AALF000029,0,0,0,0
AALF000030,1.91047570889269,1.42385018640083,0.155663396314556,0.902145394388966
AALF000031,0,0,0,0
AALF000032,0,0,0,0.158455509493198
AALF000035,0.0717597184727064,0,0,0
AALF000052,0,0,0,0
AALF000053,0,0,0,0
AALF000054,0,0.137146341557484,0.0974585148764646,0.242065578920567
AALF000058,0,0,0,0
AALF000066,0.0767081784302545,0,0.225003437030444,0
AALF000067,1.98665855602101,0.410020108994874,0.582734478197911,2.41230775646362
AALF000068,2.23620678730738,1.76464894704494,1.54337163290629,2.02318158351486
AALF000070,0.676875980716548,0.0997844785831418,0.28363416712386,0.352242535983229
AALF000071,3.11008001229336,9.22701741463273,13.6839129775833,8.96901308032128
AALF000072,0.376513624117643,0,0,0
AALF000076,0,1.87401438963859,0,2.20511109024953
AALF000077,0.0310558603449369,0.0961427961913902,0,0
AALF000078,0,0,0,0
AALF000079,0,0,0,0
AALF000084,0,0,0,0
AALF000085,0,0,0,0
AALF000086,0,0,0,0
AALF000087,0,0,0,0
AALF000088,0,0,0,0
AALF000089,28.2657790692564,26.8349454346413,29.8477049720984,21.9659714781614
AALF000091,0,0,0,0.320770557783254
AALF000093,0,0,0,0
AALF000094,0,0.0662032687762563,0,0
AALF000101,0.243922870284319,0.40273969196048,0.262344180408461,0.513386083540207
AALF000102,229.916995922066,371.919778866735,341.757541457714,294.268273078127
AALF000103,4.99969111753496,3.95012837031663,4.92662087463518,3.50973563884254
AALF000104,4.95140340448152,5.20592767515648,5.82316180997099,5.61522446434375
AALF000105,9.5144449112544,4.90913968043862,2.32567857634581,4.1718990279202
AALF000106,0,0.750769739948377,0,0
AALF000107,22.5468024740983,20.8550087269463,25.2039501427148,22.3694544049609
AALF000108,7.07042586295766,9.42427508069002,5.6168803175193,0.715440972440115
AALF000109,0.866371216442298,0,0,0
AALF000112,379.14133438439,529.730827629791,539.654840333228,618.066084903187
AALF000113,0,0,1.79134644601402,0
AALF000114,9.91173521090581,3.0083108046712,2.56530797669603,3.5398124768814
AALF000118,0,0,0,0.872574633871747
AALF000121,0.100725245905064,0.311825422989996,0.295451241160451,0.122306015410693
AALF000122,0.59587123725295,0,0.655437329922717,0
AALF000123,6.90737350654196,6.76053339906096,9.29498513670996,7.69556824948473
AALF000124,7.75351034743253,7.33435182516945,8.66396213321956,10.6476108790418
AALF000125,0.512955500166405,0,0.188077648535958,0.311429089820659
AALF000126,0.0342821068158334,0,0,0.020813589715533
AALF000127,0.0626828693166243,0.0646845851578784,0.122575900230285,0.0761129140141428
AALF000128,0.204029591470125,0,0,0
AALF000142,0.176034548336337,0.45414009667752,0.129087860063679,0.21375062416756
AALF000143,0,0,0,0.321060192598408
AALF000144,0.354913812129074,0.244165090660921,0,0.57460727328995
AALF000149,0.0461682190150166,0,0.13542243047002,0.0560599366682806
AALF000151,0,0,0,0
AALF000152,0,0,0,0
AALF000158,139.682064606642,119.432501390766,84.8707598127697,121.149629745396
AALF000163,0,0,0,0
AALF000164,0,0,0,0
AALF000165,0,0,0,0
AALF000184,1.31906968989863,1.36119288436586,0.967286735206892,0
AALF000185,6.87940809297173,5.67927618473087,8.74421148882409,8.35334761087088
AALF000186,0.268014236162834,0.184382004967778,0.196537466877007,0.0813593280509647
AALF000189,0.14978694176854,0.154570240577607,0,0.0909396837091399
AALF000193,30.5143226309766,8.58784569319281,9.154003064267,3.36837573288561
AALF000203,6.26381756486624,0.497218955704191,3.53332217549864,1.75519948977081
AALF000205,0,0,0,0
AALF000207,0,0.164387227161279,0,0
AALF000208,0.592180932573299,1.22218329759038,0.868504166697392,1.43811592842361
AALF000218,0,0,0,0.836153235279805
AALF000219,0,0,0,0
AALF000220,0.203940782559413,0.21045343106414,0.199402366933918,0.247635875896396
AALF000221,0,0,0.025543860373923,0
AALF000223,0.226199012158993,0.311229940474255,0.44233054180301,0.366217355187885
AALF000224,3.15237877447517,0.464720984743133,1.32095443423871,0
AALF000225,0,0,0,0
AALF000226,35.4949662009087,19.9791616746593,26.02880669284,11.7545177951318
AALF000228,24.8812753271075,11.8503851109499,11.228112691029,6.97204241770072
AALF000237,0.742499292975762,0.297970663798359,0.241992004751013,0.500879227078091
AALF000243,1.68398792203941,1.40676167470303,1.29368889292817,0.0973708943116963
AALF000245,32.6504218712191,14.0387837551323,11.9714372245815,7.15828745324906
AALF000246,0.80949128170697,2.50602477121677,0,0.982927887498927
AALF000247,37.4256547390334,35.4024057289465,49.0082134384017,45.444244530133
AALF000248,4.26456511394412,0.293383320707982,0.833932641615263,0.690435268549004
AALF000265,0.405469526785895,0,0.198223186029821,0
AALF000266,40.8354932256325,28.8323131323294,16.8112659740912,33.0564359767682
AALF000267,15.229854863021,23.3519088386887,24.1275304725902,23.81398260206
AALF000271,0,0,0,0
AALF000272,0,0.0536264099963127,0,0
AALF000273,1.57968157064057,22.0067165175698,34.1726814773833,0
AALF000277,3.30932611707921,4.14988094579863,4.23915262424696,4.22182326788172
AALF000278,0,0,0,0
AALF000279,242.813823513679,252.572387140842,270.647790985252,267.712554128429
AALF000282,0,0,0,0
AALF000283,0,0,0,0
AALF000284,0,0,0,0
AALF000285,0.199681876002384,0,0,0
AALF000287,0,0,0,0
AALF000301,0,0,1.36233246766649,2.25582339922434
AALF000302,0,0,0,0
AALF000303,0,0.841740446599504,0.897232542684945,0.247614319848703
AALF000306,1.06087072082417,1.09474858491284,0.777946899910536,0.966124750284805
AALF000312,1.65041853522295,0.627466379286465,0.594517659172991,0.527375532658432
AALF000313,0,0,0,0
AALF000314,13.1119464697387,18.0408847957744,10.6834654336284,10.6141541284399
AALF000315,0,0,0.0586534617681533,0.024280389450151
AALF000316,0,0,0,0
AALF000322,5.47352282537377,3.22760822781545,1.14679655656037,5.69678232260727
AALF000323,1.24622040148272,1.94851094773332,2.49236083043927,2.38448031618046
AALF000324,0,0.0813089789665604,0.115559077204859,0.191348937604056
AALF000330,0.756431310707127,1.17088080205059,0,0
AALF000338,0.235463485463884,0.171517256832403,0.325021519577607,0.235457302347853
AALF000339,4.73027313328616,1.83049865923809,1.73437783112311,1.4359380648268
AALF000340,22.0496966372913,19.5032846005798,20.459062041318,27.320335251843
AALF000342,0.402520235268036,0,0.590344069322145,0.733142604747911
AALF000343,0.772345777205471,1.06267984095458,0.461485631996724,0.868355385617703
AALF000344,3.19192156804746,1.51621779307884,2.3035139276591,2.03018251463996
AALF000345,0.408011803064146,0.350867715912014,0.332443394625533,0.110095531936987
AALF000346,0.0419472097346364,0.0432867526613984,0,0.0509345599917973
AALF000347,0,0,0,0.0934430492878883
AALF000348,0,0,0,0
AALF000349,0.077218925745269,0.318739345063455,0.226501581083452,0.0937633761758156
AALF000354,0.294378960701178,0.0433970947947039,0,0
AALF000357,0.818378799521899,0,0.17146434192309,0
AALF000358,8.42095200242494,0.847791885896467,3.91595934463558,1.49636681032188
AALF000359,4.39372254584741,3.19061494095872,0.715991070461562,1.77836480673778
AALF000360,0.376271726511399,0,1.10369498344198,0.913778768526147
AALF000361,2.41995004488701,1.57083745322754,1.88906167867396,1.37442862189662
AALF000362,0.903110165481871,0,1.32451907611985,0
AALF000363,1.73018299059082,0.892717342183817,0,3.15132197904937
AALF000364,3.9438851334343,0,0,0
AALF000369,103.211797211249,54.4923446495318,70.4057885953869,72.8635580538395
AALF000378,0.287284099959937,0.4940970590252,0.337069195060895,0.372091539288987
AALF000379,0.389212123153343,0.301230922408262,0.285413065580236,0
AALF000385,2.94206434518583,1.21440651170484,2.58893355250284,0.952643438185497
AALF000386,6.00684043399993,2.96457794748846,2.29819564110694,2.85410699640993
AALF000387,8.03935404687705,3.31843316765103,2.35813485480774,3.90472657024282
AALF000388,58.6124852355896,36.3850370060205,17.4610759518817,16.6805706005975
AALF000389,5.39888865587088,4.17847264522834,1.64960749157619,1.6389053042569
AALF000390,5.14460879653817,4.1023293636229,6.85925830196622,5.3950162529463
AALF000391,0.0522147677363699,0,0,0
AALF000392,0,2.21102417984111,3.33878142327272,0
AALF000393,0.53800836773941,0.370126090887817,0.131508936823658,0.217759573330927
AALF000394,7.70614397782886,0.662686009493908,0.9418318211225,0
AALF000395,8.1484096322086,14.0143684790364,12.9465021115691,18.963955376146
AALF000396,5.11499512938859,5.27833747299951,1.6670560327292,3.45050134209352
AALF000397,1.39860762343879,0,0,0
AALF000401,0,0,0,0
AALF000405,0.730778715901061,0.377057708075678,0.459331882814824,0.126764407594559
AALF000406,1.40332026612353,1.26711717996529,0.385900690766179,0.745494314674402
AALF000407,14.3808445151972,0.872946038505215,0.827107001313164,1.71196034329676
AALF000413,5.1741715560012,0.762771948664422,2.16815470138087,0.299178934205079
AALF000414,4.19832933559135,0.618914122538089,0,2.1847874857311
AALF000415,1.32304279137423,0.455097620977744,0.646800166313042,0
AALF000417,0.94310296669081,0,0,0
AALF000418,39.335839409216,21.0476989284035,23.5036239539824,12.3831798165132
AALF000422,0.787716129542694,0,4.6211196818492,1.91297465125884
AALF000423,0,0,0,0.10607821100917
AALF000424,0,0,0.564913265941283,0.467706890237076
AALF000431,3.08775694515641,1.59318071462971,1.18136475075813,1.83390685944105
AALF000432,0,0,0.122777390060566,0.101650704203184
AALF000437,0,0,0,0
AALF000440,0.0703326418939358,0.0435471874236008,0.0618907389749411,0.0341606718596137
AALF000443,0.61358506266631,0,0,0.248349337037008
AALF000453,0,0,0,0
AALF000455,0.0950719438845815,0.0490539864987983,0,0.0577207358959031
AALF000456,0,0,0,0
AALF000475,0,0,0,0
AALF000479,0,0,0,0
AALF000487,0,0,0,0
AALF000489,1.61288482413006,0.783242689983404,0.556585531095882,1.8432485380994
AALF000490,0.219446802840814,0,0.107281661258193,0
AALF000498,1.95948047614682,0.67401818660793,1.9158749907741,0.793102222980082
AALF000499,0,0,0,0
AALF000500,0,0,0,0
AALF000501,0.186488438883933,0.288665645912328,0.273507600975552,0
AALF000520,0.332199059736241,0,0,0
AALF000529,3.40244990348291,3.92909234538306,3.08910936336631,4.03307025255196
AALF000530,0.987263997159569,0.905592269201639,1.1261761277479,0.266397575053558
AALF000533,1.11982206943593,3.46674746075589,2.46352950534528,2.71949646885458
AALF000534,0,0,0.41646090708544,0
AALF000537,3.53877306534739,1.21726010203111,0,0
AALF000538,1.70329384295917,1.64783142958769,2.49808414683623,2.0682310689244
AALF000539,46.9386984733328,26.4205307391669,21.9040231185648,31.0884514363049
AALF000544,0,0,0,0
AALF000550,0,0,0,1.05433406464859
AALF000552,3.33225115516943,2.6526831338337,1.67559253033645,1.61847948833238
AALF000553,2.55192567457513,0.376202701934917,1.06934406581229,0.442669359854014
AALF000554,0,0,0,0
