virus	host	realm
Acidianus filamentous virus 2	archaea	Adnaviria
Acidianus filamentous virus 6	archaea	Adnaviria
Acidianus filamentous virus 7	archaea	Adnaviria
Acidianus filamentous virus 8	archaea	Adnaviria
Acidianus filamentous virus 9	archaea	Adnaviria
Acidianus rod-shaped virus 1	archaea	Adnaviria
Acidianus rod-shaped virus 2	archaea	Adnaviria
Captovirus AFV1	archaea	Adnaviria
Pyrobaculum filamentous virus 1	archaea	Adnaviria
Sulfolobales Beppu filamentous virus 2	archaea	Adnaviria
Sulfolobales Beppu filamentous virus 3	archaea	Adnaviria
Sulfolobus filamentous virus 1	archaea	Adnaviria
Sulfolobus islandicus filamentous virus	archaea	Adnaviria
Sulfolobus islandicus rod-shaped phage 6	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 5	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 1	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 10	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 11	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 2	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 4	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 7	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 8	archaea	Adnaviria
Sulfolobus islandicus rod-shaped virus 9	archaea	Adnaviria
Sulfolobus islandicus rudivirus 3	archaea	Adnaviria
Thermoproteus tenax virus 1	archaea	Adnaviria
Ageratum conyzoides associated symptomless alphasatellite	land plants	Alphasatellitidae
Ageratum conyzoides symptomless alphasatellite	land plants	Alphasatellitidae
Ageratum enation alphasatellite	land plants	Alphasatellitidae
Ageratum leaf curl Cameroon alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein China alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein India alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein Pakistan alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein Singapore alphasatellite	land plants	Alphasatellitidae
Ageratum yellow vein alphasatellite	land plants	Alphasatellitidae
Banana bunchy top alphasatellite 3	land plants	Alphasatellitidae
Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite	land plants	Alphasatellitidae
Bhendi yellow vein mosaic alphasatellite	land plants	Alphasatellitidae
Bhendi yellow vein mosaic virus-associated alphasatellite	land plants	Alphasatellitidae
Bhindi yellow vein alphasatellite	land plants	Alphasatellitidae
Black medic leafroll alphasatellite 1	land plants	Alphasatellitidae
Cardamom bushy dwarf alphasatellite	land plants	Alphasatellitidae
Cassava mosaic Madagascar alphasatellite	land plants	Alphasatellitidae
Chilli leaf curl India alphasatellite	land plants	Alphasatellitidae
Chilli leaf curl Multan alphasatellite	land plants	Alphasatellitidae
Chilli leaf curl alphasatellite	land plants	Alphasatellitidae
Cleome leaf crumple alphasatellite	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 2	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 3	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 4	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 5	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 6	land plants	Alphasatellitidae
Coconut foliar decay alphasatellite 7	land plants	Alphasatellitidae
Cotton leaf curl Burewala alphasatellite	land plants	Alphasatellitidae
Cotton leaf curl Gezira alphasatellite	land plants	Alphasatellitidae
Cotton leaf curl Lucknow alphasatellite	land plants	Alphasatellitidae
Cotton leaf curl Multan alphasatellite	land plants	Alphasatellitidae
Croton yellow vein mosaic alphasatellite	land plants	Alphasatellitidae
Cucurbit yellow mosaic alphasatellite	land plants	Alphasatellitidae
Euphorbia yellow mosaic virus associated DNA 1	land plants	Alphasatellitidae
Faba bean necrotic stunt alphasatellite 1	land plants	Alphasatellitidae
Faba bean necrotic stunt alphasatellite 2	land plants	Alphasatellitidae
Faba bean necrotic yellows C1 alphasatellite	land plants	Alphasatellitidae
Faba bean necrotic yellows C7 alphasatellite	land plants	Alphasatellitidae
Faba bean necrotic yellows C9 alphasatellite	land plants	Alphasatellitidae
Faba bean necrotic yellows virus associated alphasatellite 1	land plants	Alphasatellitidae
Gossypium darwinii symptomless alphasatellite	land plants	Alphasatellitidae
Gossypium davidsonii symptomless alphasatellite	land plants	Alphasatellitidae
Gossypium mustelinum symptomless alphasatellite	land plants	Alphasatellitidae
Guar leaf curl alphasatellite	land plants	Alphasatellitidae
Hibiscus leaf curl alphasatellite	land plants	Alphasatellitidae
Hollyhock yellow vein virus associated symptomless alphasatellite	land plants	Alphasatellitidae
Malvastrum yellow mosaic Cameroon alphasatellite	land plants	Alphasatellitidae
Melon chlorotic mosaic alphasatellite	land plants	Alphasatellitidae
Mesta yellow vein mosaic alphasatellite	land plants	Alphasatellitidae
Milk vetch dwarf C10 alphasatellite	land plants	Alphasatellitidae
Milk vetch dwarf C2 alphasatellite	land plants	Alphasatellitidae
Milk vetch dwarf C3 alphasatellite	land plants	Alphasatellitidae
Mimosa yellow leaf curl virus-associated DNA 1	land plants	Alphasatellitidae
Nanovirus-like particle	land plants	Alphasatellitidae
Okra leaf curl alphasatellite	land plants	Alphasatellitidae
Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09]	land plants	Alphasatellitidae
Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp3:09]	land plants	Alphasatellitidae
Papaya leaf curl alphasatellite	land plants	Alphasatellitidae
Parsley severe stunt alphasatellite 3	land plants	Alphasatellitidae
Parsley severe stunt alphasatellite 4	land plants	Alphasatellitidae
Parthenium leaf curl alphasatellite	land plants	Alphasatellitidae
Pea necrotic yellow dwarf alphasatellite 1	land plants	Alphasatellitidae
Pea necrotic yellow dwarf alphasatellite 3	land plants	Alphasatellitidae
Pedilanthus leaf curl alphasatellite	land plants	Alphasatellitidae
Sida leaf curl alphasatellite	land plants	Alphasatellitidae
Sida yellow vein China alphasatellite	land plants	Alphasatellitidae
Sida yellow vein disease associated DNA 1	land plants	Alphasatellitidae
Sida yellow vein Vietnam alphasatellite	land plants	Alphasatellitidae
Sida yellow vein alphasatellite	land plants	Alphasatellitidae
Sida yellow vein mosaic alphasatellite	land plants	Alphasatellitidae
Sophora alopecuroides yellow stunt alphasatellite 1a	land plants	Alphasatellitidae
Sophora alopecuroides yellow stunt alphasatellite 4	land plants	Alphasatellitidae
Sophora alopecuroides yellow stunt alphasatellite 7a	land plants	Alphasatellitidae
Sophora alopecuroides yellow stunt alphasatellite 8	land plants	Alphasatellitidae
Sophora alopecuroides yellow stunt alphasatellite 9	land plants	Alphasatellitidae
Subterranean clover stunt C2 alphasatellite	land plants	Alphasatellitidae
Subterranean clover stunt C6 alphasatellite	land plants	Alphasatellitidae
Sunflower leaf curl Karnataka alphasatellite	land plants	Alphasatellitidae
Synedrella leaf curl alphasatellite	land plants	Alphasatellitidae
Tobacco curly shoot alphasatellite	land plants	Alphasatellitidae
Tobacco leaf curl Yunnan virus associated DNA 1	land plants	Alphasatellitidae
Tobacco leaf curl PUSA alphasatellite	land plants	Alphasatellitidae
Tomato leaf curl Anand alphasatellite	land plants	Alphasatellitidae
Tomato leaf curl Cameroon alphasatellite	land plants	Alphasatellitidae
Tomato leaf curl Cameroon alphasatellite [CM:OMHD3:Ok:09]	land plants	Alphasatellitidae
Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09]	land plants	Alphasatellitidae
Tomato leaf curl Pakistan alphasatellite	land plants	Alphasatellitidae
Tomato leaf curl alphasatellite	land plants	Alphasatellitidae
Tomato leaf curl Virudhunagar alphasatellite	land plants	Alphasatellitidae
Tomato yellow leaf curl China alphasatellite	land plants	Alphasatellitidae
Tomato yellow leaf curl Yunnan alphasatellite	land plants	Alphasatellitidae
Tomato yellow spot alphasatellite	land plants	Alphasatellitidae
Tomato yellow spot alphasatellite 2	land plants	Alphasatellitidae
Verbesina encelioides leaf curl alphasatellite	land plants	Alphasatellitidae
Vernonia yellow vein Fujian alphasatellite	land plants	Alphasatellitidae
Whitefly associated Guatemala alphasatellite 1	land plants	Alphasatellitidae
Whitefly associated Guatemala alphasatellite 2	land plants	Alphasatellitidae
Whitefly associated Puerto Rico alphasatellite 1	land plants	Alphasatellitidae
Acidianus bottle-shaped virus	archaea	Ampullaviridae
Acidianus bottle-shaped virus 2 strain ABV2	archaea	Ampullaviridae
Acidianus bottle-shaped virus 3 strain ABV3	archaea	Ampullaviridae
Anellovirus PRA4	vertebrates	Anelloviridae
Torque teno felis virus	vertebrates	Anelloviridae
Ashy storm petrel gyrovirus	vertebrates	Anelloviridae
Avian gyrovirus 2	human:vertebrates	Anelloviridae
Human gyrovirus 1	vertebrates: human	Anelloviridae
Chicken anemia virus	human:vertebrates	Anelloviridae
Gorilla anellovirus	vertebrates	Anelloviridae
Gyrovirus 4	human:vertebrates	Anelloviridae
Gyrovirus GyV3	human:vertebrates	Anelloviridae
Gyrovirus GyV8	vertebrates	Anelloviridae
Gyrovirus Tu243	human	Anelloviridae
Gyrovirus Tu789	human	Anelloviridae
Lesser panda anellovirus	vertebrates	Anelloviridae
Rodent Torque teno virus 2	vertebrates	Anelloviridae
Rodent Torque teno virus 3	vertebrates	Anelloviridae
Rodent Torque teno virus 4	vertebrates	Anelloviridae
Rodent Torque teno virus 6	vertebrates	Anelloviridae
Rodent Torque teno virus 7	vertebrates	Anelloviridae
Seal anellovirus 2	vertebrates	Anelloviridae
Seal anellovirus 3	vertebrates	Anelloviridae
Seal anellovirus 4	vertebrates	Anelloviridae
Seal anellovirus TFFN/USA/2006	vertebrates	Anelloviridae
Simian torque teno virus 30	vertebrates	Anelloviridae
Simian torque teno virus 31	vertebrates	Anelloviridae
Simian torque teno virus 32	vertebrates	Anelloviridae
Simian torque teno virus 33	vertebrates	Anelloviridae
Simian torque teno virus 34	vertebrates	Anelloviridae
Small anellovirus 1	human:vertebrates	Anelloviridae
Small anellovirus 2	human:vertebrates	Anelloviridae
TTV-like mini virus	human:vertebrates	Anelloviridae
Torque teno Leptonychotes weddellii virus-2	vertebrates	Anelloviridae
Torque teno Tadarida brasiliensis virus	vertebrates	Anelloviridae
Torque teno canis virus	vertebrates	Anelloviridae
Torque teno douroucouli virus	vertebrates	Anelloviridae
Torque teno equus virus 1	vertebrates	Anelloviridae
Torque teno felis virus 2	vertebrates	Anelloviridae
Torque teno indri virus 1	vertebrates	Anelloviridae
Torque teno midi virus 1	human	Anelloviridae
Torque teno midi virus 10	human	Anelloviridae
Torque teno midi virus 11	human	Anelloviridae
Torque teno midi virus 12	human	Anelloviridae
Torque teno midi virus 13	human	Anelloviridae
Torque teno midi virus 14	human	Anelloviridae
Torque teno midi virus 2	human	Anelloviridae
Torque teno midi virus 3	human	Anelloviridae
Torque teno midi virus 4	human	Anelloviridae
Torque teno midi virus 5	human	Anelloviridae
Torque teno midi virus 6	human	Anelloviridae
Torque teno midi virus 7	human	Anelloviridae
Torque teno midi virus 8	human	Anelloviridae
Torque teno midi virus 9	human	Anelloviridae
Torque teno mini virus 1	human	Anelloviridae
Torque teno mini virus 10	human	Anelloviridae
Torque teno mini virus 11	human	Anelloviridae
Torque teno mini virus 12	human	Anelloviridae
Torque teno mini virus 18	human	Anelloviridae
Torque teno mini virus 2	human	Anelloviridae
Torque teno mini virus 3	human	Anelloviridae
Torque teno mini virus 5	human	Anelloviridae
Torque teno mini virus 6	human	Anelloviridae
Torque teno mini virus 8	human	Anelloviridae
Torque teno mini virus ALA22	human	Anelloviridae
Torque teno mini virus ALH8	human	Anelloviridae
Torque teno sus virus 1a	vertebrates	Anelloviridae
Torque teno sus virus 1b	vertebrates	Anelloviridae
Torque teno sus virus k2a	vertebrates	Anelloviridae
Torque teno sus virus k2b	vertebrates	Anelloviridae
Torque teno tamarin virus	vertebrates	Anelloviridae
Torque teno tupaia virus	vertebrates	Anelloviridae
Torque teno virus	human:vertebrates	Anelloviridae
Torque teno virus 1	human:vertebrates	Anelloviridae
Torque teno virus 10	human	Anelloviridae
Torque teno virus 14	vertebrates	Anelloviridae
Torque teno virus 2	human:vertebrates	Anelloviridae
Torque teno virus 23	vertebrates	Anelloviridae
Torque teno virus 25	human	Anelloviridae
Torque teno virus 27	human	Anelloviridae
Torque teno virus 3	human	Anelloviridae
Torque teno virus 4	vertebrates	Anelloviridae
Torque teno virus 6	human	Anelloviridae
Torque teno virus 7	human	Anelloviridae
Torque teno virus 9	human	Anelloviridae
Torque teno zalophus virus 1	vertebrates	Anelloviridae
Avocado sunblotch viroid	land plants	Avsunviroidae
Chrysanthemum chlorotic mottle viroid	land plants	Avsunviroidae
Eggplant latent viroid	land plants	Avsunviroidae
Peach latent mosaic viroid	land plants	Avsunviroidae
Acidianus tailed spindle virus	archaea	Bicaudaviridae
Acidianus two-tailed virus	archaea	Bicaudaviridae
Sulfolobus monocaudavirus SMV1	archaea	Bicaudaviridae
Sulfolobus monocaudavirus SMV2	archaea	Bicaudaviridae
Sulfolobus monocaudavirus SMV3	archaea	Bicaudaviridae
Sulfolobus monocaudavirus SMV4	archaea	Bicaudaviridae
Sulfolobus virus STSV1	archaea	Bicaudaviridae
Sulfolobus virus STSV2	archaea	Bicaudaviridae
Aeropyrum pernix bacilliform virus 1	archaea	Clavaviridae
Abalone herpesvirus Victoria/AUS/2009	invertebrates	Duplodnaviria
Achromobacter phage 83-24	bacteria	Duplodnaviria
Achromobacter phage JWAlpha	bacteria	Duplodnaviria
Achromobacter phage JWF	bacteria	Duplodnaviria
Achromobacter phage JWX	bacteria	Duplodnaviria
Achromobacter phage Motura	bacteria	Duplodnaviria
Achromobacter phage phiAxp-1	bacteria	Duplodnaviria
Achromobacter phage phiAxp-2	bacteria	Duplodnaviria
Achromobacter phage phiAxp-3	bacteria	Duplodnaviria
Achromobacter phage vB_AxyP_19-32_Axy04	bacteria	Duplodnaviria
Achromobacter phage vB_AxyP_19-32_Axy10	bacteria	Duplodnaviria
Achromobacter phage vB_AxyP_19-32_Axy11	bacteria	Duplodnaviria
Achromobacter phage vB_AxyP_19-32_Axy12	bacteria	Duplodnaviria
Achromobacter phage vB_AxyP_19-32_Axy24	bacteria	Duplodnaviria
Acidovorax phage ACP17	bacteria	Duplodnaviria
Acinetobacter phage 133	bacteria	Duplodnaviria
Acinetobacter phage AB1	bacteria	Duplodnaviria
Acinetobacter phage AB3	bacteria	Duplodnaviria
Acinetobacter phage AM101	bacteria	Duplodnaviria
Acinetobacter phage AP22	bacteria	Duplodnaviria
Acinetobacter phage AbKT21phiIII	bacteria	Duplodnaviria
Acinetobacter phage AbP2	bacteria	Duplodnaviria
Acinetobacter phage AbTZA1	bacteria	Duplodnaviria
Acinetobacter phage Abp1	bacteria	Duplodnaviria
Acinetobacter phage Ac42	bacteria	Duplodnaviria
Acinetobacter phage Acj61	bacteria	Duplodnaviria
Acinetobacter phage Acj9	bacteria	Duplodnaviria
Acinetobacter phage Fri1	bacteria	Duplodnaviria
Acinetobacter phage IME-200	bacteria	Duplodnaviria
Acinetobacter phage IMEAB3	bacteria	Duplodnaviria
Acinetobacter phage KARL-1	bacteria	Duplodnaviria
Acinetobacter phage LZ35	bacteria	Duplodnaviria
Acinetobacter phage Loki	bacteria	Duplodnaviria
Acinetobacter phage Petty	bacteria	Duplodnaviria
Acinetobacter phage Presley	bacteria	Duplodnaviria
Acinetobacter phage SH-Ab 15519	bacteria	Duplodnaviria
Acinetobacter phage SWH-Ab-1	bacteria	Duplodnaviria
Acinetobacter phage SWH-Ab-3	bacteria	Duplodnaviria
Acinetobacter phage VB_ApiP_XC38	bacteria	Duplodnaviria
Acinetobacter phage WCHABP1	bacteria	Duplodnaviria
Acinetobacter phage WCHABP12	bacteria	Duplodnaviria
Acinetobacter phage WCHABP5	bacteria	Duplodnaviria
Acinetobacter phage YMC-13-01-C62	bacteria	Duplodnaviria
Acinetobacter phage YMC11/12/R2315	bacteria	Duplodnaviria
Acinetobacter phage YMC/09/02/B1251	bacteria	Duplodnaviria
Acinetobacter phage YMC11/11/R3177	bacteria	Duplodnaviria
Acinetobacter phage YMC13/03/R2096	bacteria	Duplodnaviria
Acinetobacter phage ZZ1	bacteria	Duplodnaviria
Acinetobacter phage phiAB1	bacteria	Duplodnaviria
Acinetobacter phage phiAB6	bacteria	Duplodnaviria
Acinetobacter phage phiAC-1	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM-IME-AB2	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_Acibel004	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_Apostate	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_B09_Aci01-1	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_B09_Aci02-2	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_B09_Aci05	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_Berthold	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_Kimel	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_Konradin	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_Lazarus	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_ME3	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_PhT2	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaM_phiAbaA1	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_46-62_Aci07	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_AS11	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_AS12	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_Acibel007	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_B09_Aci08	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_B1	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_B3	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_D2	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_PD-6A3	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaP_PD-AB9	bacteria	Duplodnaviria
Acinetobacter phage vB_AbaS_TRS1	bacteria	Duplodnaviria
Acinetobacter phage vB_ApiM_fHyAci03	bacteria	Duplodnaviria
Acinetobacter phage vB_ApiP_P1	bacteria	Duplodnaviria
Acinetobacter phage vB_ApiP_P2	bacteria	Duplodnaviria
Actinoplanes phage phiAsp2	bacteria	Duplodnaviria
Aeribacillus phage AP45	bacteria	Duplodnaviria
Aeromonas phage 25	bacteria	Duplodnaviria
Aeromonas phage 25AhydR2PP	bacteria	Duplodnaviria
Aeromonas phage 2L372D	bacteria	Duplodnaviria
Aeromonas phage 2L372X	bacteria	Duplodnaviria
Aeromonas phage 2_D05	bacteria	Duplodnaviria
Aeromonas phage 31	bacteria	Duplodnaviria
Aeromonas phage 44RR2.8t	bacteria	Duplodnaviria
Aeromonas phage 4L372D	bacteria	Duplodnaviria
Aeromonas phage 4L372XY	bacteria	Duplodnaviria
Aeromonas phage 4_4572	bacteria	Duplodnaviria
Aeromonas phage 4_D05	bacteria	Duplodnaviria
Aeromonas phage 50AhydR13PP	bacteria	Duplodnaviria
Aeromonas phage 60AhydR15PP	bacteria	Duplodnaviria
Aeromonas phage phiAS4	bacteria	Duplodnaviria
Aeromonas phage 65	bacteria	Duplodnaviria
Aeromonas phage AS-gz	bacteria	Duplodnaviria
Aeromonas phage AS-sw	bacteria	Duplodnaviria
Aeromonas phage AS-zj	bacteria	Duplodnaviria
Aeromonas phage Aeh1	bacteria	Duplodnaviria
Aeromonas phage Aes012	bacteria	Duplodnaviria
Aeromonas phage Aes508	bacteria	Duplodnaviria
Aeromonas phage Ah1	bacteria	Duplodnaviria
Aeromonas phage AhSzq-1	bacteria	Duplodnaviria
Aeromonas phage AhSzw-1	bacteria	Duplodnaviria
Aeromonas phage Ahp1	bacteria	Duplodnaviria
Aeromonas phage CC2	bacteria	Duplodnaviria
Aeromonas phage CF7	bacteria	Duplodnaviria
Aeromonas phage LAh_6	bacteria	Duplodnaviria
Aeromonas phage LAh_7	bacteria	Duplodnaviria
Aeromonas phage LAh_8	bacteria	Duplodnaviria
Aeromonas phage LAh_9	bacteria	Duplodnaviria
Aeromonas phage PX29	bacteria	Duplodnaviria
Aeromonas phage ZPAH7	bacteria	Duplodnaviria
Aeromonas phage pAh6-C	bacteria	Duplodnaviria
Aeromonas phage pIS4-A	bacteria	Duplodnaviria
Vibrio phage pYD38-A	bacteria	Duplodnaviria
Aeromonas phage phiA8-29	bacteria	Duplodnaviria
Aeromonas phage phiAS5	bacteria	Duplodnaviria
Aeromonas phage phiAS7	bacteria	Duplodnaviria
Aeromonas phage phiO18P	bacteria	Duplodnaviria
Aeromonas phage vB_AhyS-A18P4	bacteria	Duplodnaviria
Aeromonas phage vB_AsaM-56	bacteria	Duplodnaviria
Aggregatibacter phage S1249	bacteria	Duplodnaviria
Agrobacterium phage 7-7-1	bacteria	Duplodnaviria
Agrobacterium phage Atu_ph02	bacteria	Duplodnaviria
Agrobacterium phage Atu_ph03	bacteria	Duplodnaviria
Agrobacterium phage Atu_ph07	bacteria	Duplodnaviria
Alcelaphine gammaherpesvirus 1	vertebrates	Duplodnaviria
Alcelaphine gammaherpesvirus 2	vertebrates	Duplodnaviria
Alteromonas phage vB_AcoS-R7M	bacteria	Duplodnaviria
Alteromonas phage vB_AmaP_AD45-P1	bacteria	Duplodnaviria
Alteromonas phage vB_AmeM_PT11-V22	bacteria	Duplodnaviria
Anabaena phage A-4L	bacteria	Duplodnaviria
Anatid alphaherpesvirus 1	vertebrates	Duplodnaviria
Anguillid herpesvirus 1	vertebrates	Duplodnaviria
Anoxybacillus phage A403	bacteria	Duplodnaviria
Aotine betaherpesvirus 1	vertebrates	Duplodnaviria
Aquamicrobium phage P14	bacteria	Duplodnaviria
Arawnvirus arawn	bacteria	Duplodnaviria
Archaeal BJ1 virus	archaea	Duplodnaviria
Aresaunavirus RSA1	bacteria	Duplodnaviria
Aresaunavirus RsoM1USA	bacteria	Duplodnaviria
Arthrobacter phage Abba	bacteria	Duplodnaviria
Arthrobacter phage Abidatro	bacteria	Duplodnaviria
Arthrobacter phage Adat	bacteria	Duplodnaviria
Arthrobacter phage Amigo	bacteria	Duplodnaviria
Arthrobacter phage Andrew	bacteria	Duplodnaviria
Arthrobacter phage Anjali	bacteria	Duplodnaviria
Arthrobacter phage BarretLemon	bacteria	Duplodnaviria
Arthrobacter phage Beans	bacteria	Duplodnaviria
Arthrobacter phage Bennie	bacteria	Duplodnaviria
Arthrobacter phage BigMack	bacteria	Duplodnaviria
Arthrobacter phage Brent	bacteria	Duplodnaviria
Arthrobacter phage Bridgette	bacteria	Duplodnaviria
Arthrobacter phage CaptnMurica	bacteria	Duplodnaviria
Arthrobacter phage Circum	bacteria	Duplodnaviria
Arthrobacter phage Colucci	bacteria	Duplodnaviria
Arthrobacter phage Constance	bacteria	Duplodnaviria
Arthrobacter phage Coral	bacteria	Duplodnaviria
Arthrobacter phage Decurro	bacteria	Duplodnaviria
Arthrobacter phage DrManhattan	bacteria	Duplodnaviria
Arthrobacter phage DrRobert	bacteria	Duplodnaviria
Arthrobacter phage DrYang	bacteria	Duplodnaviria
Arthrobacter phage Eileen	bacteria	Duplodnaviria
Arthrobacter phage Galaxy	bacteria	Duplodnaviria
Arthrobacter phage Gisselle	bacteria	Duplodnaviria
Arthrobacter phage Glenn	bacteria	Duplodnaviria
Arthrobacter phage Gordon	bacteria	Duplodnaviria
Arthrobacter phage GreenHearts	bacteria	Duplodnaviria
Arthrobacter phage Greenhouse	bacteria	Duplodnaviria
Arthrobacter phage HunterDalle	bacteria	Duplodnaviria
Arthrobacter phage Huntingdon	bacteria	Duplodnaviria
Arthrobacter phage Jasmine	bacteria	Duplodnaviria
Arthrobacter phage Jawnski	bacteria	Duplodnaviria
Arthrobacter phage Joann	bacteria	Duplodnaviria
Arthrobacter phage Judy	bacteria	Duplodnaviria
Arthrobacter phage KBurrousTX	bacteria	Duplodnaviria
Arthrobacter phage KellEzio	bacteria	Duplodnaviria
Arthrobacter phage Kepler	bacteria	Duplodnaviria
Arthrobacter phage Kitkat	bacteria	Duplodnaviria
Arthrobacter phage Kittykat	bacteria	Duplodnaviria
Arthrobacter phage Preamble	bacteria	Duplodnaviria
Arthrobacter phage Korra	bacteria	Duplodnaviria
Arthrobacter phage Wawa	bacteria	Duplodnaviria
Arthrobacter phage Kuleana	bacteria	Duplodnaviria
Arthrobacter phage Laroye	bacteria	Duplodnaviria
Arthrobacter phage LiSara	bacteria	Duplodnaviria
Arthrobacter phage Liebe	bacteria	Duplodnaviria
Arthrobacter phage Litotes	bacteria	Duplodnaviria
Arthrobacter phage Wayne	bacteria	Duplodnaviria
Arthrobacter phage Lymara	bacteria	Duplodnaviria
Arthrobacter phage Maja	bacteria	Duplodnaviria
Arthrobacter phage MamaPearl	bacteria	Duplodnaviria
Arthrobacter phage Martha	bacteria	Duplodnaviria
Arthrobacter phage Mendel	bacteria	Duplodnaviria
Arthrobacter phage Molivia	bacteria	Duplodnaviria
Arthrobacter phage Mudcat	bacteria	Duplodnaviria
Arthrobacter phage Mufasa8	bacteria	Duplodnaviria
Arthrobacter phage Nubia	bacteria	Duplodnaviria
Arthrobacter phage Oxynfrius	bacteria	Duplodnaviria
Arthrobacter phage Peas	bacteria	Duplodnaviria
Arthrobacter phage Piccoletto	bacteria	Duplodnaviria
Arthrobacter phage Pumancara	bacteria	Duplodnaviria
Arthrobacter phage Salgado	bacteria	Duplodnaviria
Arthrobacter phage Sergei	bacteria	Duplodnaviria
Arthrobacter phage Shade	bacteria	Duplodnaviria
Arthrobacter phage Sonny	bacteria	Duplodnaviria
Arthrobacter phage Sonali	bacteria	Duplodnaviria
Arthrobacter phage Tank	bacteria	Duplodnaviria
Arthrobacter phage TripleJ	bacteria	Duplodnaviria
Arthrobacter phage Urla	bacteria	Duplodnaviria
Arthrobacter phage Vibaki	bacteria	Duplodnaviria
Arthrobacter phage Wheelbite	bacteria	Duplodnaviria
Arthrobacter phage Yang	bacteria	Duplodnaviria
Arthrobacter phage Zartrosa	bacteria	Duplodnaviria
Arthrobacter phage vB_ArS-ArV2	bacteria	Duplodnaviria
Arthrobacter phage vB_ArtM-ArV1	bacteria	Duplodnaviria
Ateline alphaherpesvirus 1	vertebrates	Duplodnaviria
Ateline gammaherpesvirus 2	vertebrates	Duplodnaviria
Ateline gammaherpesvirus 3	vertebrates	Duplodnaviria
Aurantimonas phage AmM-1	bacteria	Duplodnaviria
Azobacteroides phage ProJPt-Bp1	bacteria	Duplodnaviria
Azospirillum phage Cd	bacteria	Duplodnaviria
Bacillus phage 0305phi8-36	bacteria	Duplodnaviria
Bacillus phage 250	bacteria	Duplodnaviria
Bacillus phage AR9	bacteria	Duplodnaviria
Bacillus phage PBS1	bacteria	Duplodnaviria
Bacillus phage Andromeda	bacteria	Duplodnaviria
Bacillus phage Aurora	bacteria	Duplodnaviria
Bacillus phage AvesoBmore	bacteria	Duplodnaviria
Bacillus phage B4	bacteria	Duplodnaviria
Bacillus phage B5S	bacteria	Duplodnaviria
Bacillus phage BCASJ1c	bacteria	Duplodnaviria
Bacillus phage BCD7	bacteria	Duplodnaviria
Bacillus phage BCP78	bacteria	Duplodnaviria
Bacillus phage BCU4	bacteria	Duplodnaviria
Bacillus phage BCP8-2	bacteria	Duplodnaviria
Bacillus phage BPS13	bacteria	Duplodnaviria
Bacillus phage SalinJah	bacteria	Duplodnaviria
Bacillus phage BSP38	bacteria	Duplodnaviria
Bacillus phage BalMu-1	bacteria	Duplodnaviria
Bacillus phage Bastille	bacteria	Duplodnaviria
Bacillus phage BceA1	bacteria	Duplodnaviria
Staphylococcus phage SpaA1	bacteria	Duplodnaviria
Bacillus phage Bcp1	bacteria	Duplodnaviria
