virus	type	shape
Sclerotinia sclerotiorum mycoreovirus 4	RNA	linear
Sclerotinia sclerotiorum mycoreovirus 4	RNA	linear
Sclerotinia sclerotiorum mycoreovirus 4	RNA	linear
Sclerotinia sclerotiorum mycoreovirus 4	RNA	linear
Anopheles C virus	RNA	linear
Impatiens flower break virus	RNA	linear
Tropical soda apple mosaic virus	RNA	linear
Porcine associated porprismacovirus 10	DNA	circular
Sewage associated gemycircularvirus 3	DNA	circular
Faeces associated gemycircularvirus 22	DNA	circular
Faeces associated gemycircularvirus 20	DNA	circular
Faeces associated gemycircularvirus 19	DNA	circular
Faeces associated gemycircularvirus 18	DNA	circular
Faeces associated gemycircularvirus 17	DNA	circular
Faeces associated gemycircularvirus 16	DNA	circular
Faeces associated gemycircularvirus 15	DNA	circular
Faeces associated gemycircularvirus 14	DNA	circular
Tobacco mosqueado virus	RNA	linear
Canid alphaherpesvirus 1	DNA	linear
Marbled eel polyomavirus	DNA	circular
Cervus papillomavirus 2	DNA	circular
Porcine stool-associated circular virus	DNA	circular
Fusarium poae dsRNA virus 2	RNA	linear
Avian-like circovirus	DNA	linear
Macaca nemestrina herpesvirus 7	DNA	linear
Sclerotinia sclerotiorum umbra-like virus 1	RNA	linear
Water chestnut soymovirus 1	DNA	circular
Fusarium poae dsRNA virus 3	RNA	linear
Golden shiner totivirus	RNA	linear
Diaphorina citri densovirus	DNA	linear
GB virus-D	RNA	linear
Negev virus	RNA	linear
Torque teno mini virus 18	DNA	circular
Pecan mosaic-associated virus	RNA	linear
Phytomonas serpens narnavirus 1	RNA	linear
Cotton leaf curl Multan alphasatellite	DNA	circular
French bean leaf curl virus	DNA	circular
French bean leaf curl betasatellite-Kanpur	DNA	circular
Sweet potato virus G	RNA	linear
Nigrospora oryzae victorivirus 1	RNA	linear
Euphorbia caput-medusae latent virus	DNA	circular
Victorian trout aquabirnavirus	RNA	linear
Victorian trout aquabirnavirus	RNA	linear
Antarctic picorna-like virus 4	RNA	linear
Antarctic picorna-like virus 3	RNA	linear
Antarctic picorna-like virus 2	RNA	linear
Antarctic picorna-like virus 1	RNA	linear
Pepo aphid-borne yellows virus	RNA	linear
Catopsilia pomona nucleopolyhedrovirus	DNA	circular
Avian paramyxovirus goose/Shimane/67/2000	RNA	linear
Sinapis alba cryptic virus 1	RNA	linear
