virus	type	shape
Citrus vein enation virus	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Human rotavirus B	RNA	linear
Tomato golden leaf spot virus	DNA	circular
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus G chicken/03V0567/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Rotavirus F chicken/03V0568/DEU/2003	RNA	linear
Sclerotinia sclerotiorum endornavirus 1	RNA	linear
Cuban alphasatellite 1	DNA	circular
Thin paspalum asymptomatic virus	RNA	linear
Mikumi yellow baboon virus 1	RNA	linear
Salivirus FHB	RNA	linear
Southwest baboon virus 1	RNA	linear
Sweet potato leaf curl Henan virus	DNA	circular
Persimmon viroid 2	RNA	circular
Burdock mottle virus	RNA	linear
Burdock mottle virus	RNA	linear
Cellulophaga phage phi12:2	DNA	circular
Cellulophaga phage phi48:2	DNA	circular
Habenaria mosaic virus	RNA	linear
Cellulophaga phage phi12a:1	DNA	circular
Tomato blistering mosaic virus	RNA	linear
Ralstonia phage RSS20	DNA	circular
Ralstonia phage RSS30	DNA	circular
Ustilaginoidea virens partitivirus 2	RNA	linear
Rabbit astrovirus TN/2208/2010	RNA	linear
Tailam virus	RNA	linear
Gorilla gorilla gorilla polyomavirus 1	DNA	linear
Pan troglodytes polyomavirus 3	DNA	linear
Pan troglodytes verus polyomavirus 1a	DNA	linear
Malpais Spring vesiculovirus	RNA	linear
Tuhoko virus 3	RNA	linear
Tuhoko virus 2	RNA	linear
Shimoni bat lyssavirus	RNA	linear
Avian metaavulavirus 5	RNA	linear
Avian metaavulavirus 7	RNA	linear
Choristoneura rosaceana nucleopolyhedrovirus	DNA	circular
Calibrachoa mottle virus	RNA	linear
Hemileuca sp. nucleopolyhedrovirus	DNA	linear
Rangifer tarandus papillomavirus 2	DNA	circular
Human parainfluenza virus 4a	RNA	linear
Malvastrum leaf curl deltasatellite	DNA	circular
Grapevine red blotch virus	DNA	circular
Capraria yellow spot Yucatan virus	DNA	circular
Capraria yellow spot Yucatan virus	DNA	circular
Bean chlorotic mosaic virus	DNA	circular
Bean white chlorosis mosaic virus	DNA	circular
Broad bean true mosaic virus	RNA	linear
Broad bean true mosaic virus	RNA	linear
Brazoran virus	RNA	linear
Brazoran virus	RNA	linear
Brazoran virus	RNA	linear
Hemidesmus yellow mosaic virus	DNA	circular
Blackberry vein banding-associated virus	RNA	linear
Parvovirus NIH-CQV	DNA	linear
Leptopilina boulardi Toti-like virus	RNA	linear
Circoviridae SFBeef	DNA	linear
Gyrovirus GyV7-SF	DNA	linear
Synedrella leaf curl alphasatellite	DNA	circular
Cripavirus NB-1/2011/HUN	RNA	linear
Botryosphaeria dothidea victorivirus 1	RNA	linear
Swan circovirus	DNA	circular
Silurus glanis circovirus	DNA	circular
Vanilla distortion mosaic virus	RNA	linear
Bokeloh bat lyssavirus	RNA	linear
Maraba virus	RNA	linear
Farmington virus	RNA	linear
Yam virus X	RNA	linear
Carrot thin leaf virus	RNA	linear
Ghana virus	RNA	linear
Erinnyis ello granulovirus	DNA	circular
Sea otter polyomavirus 1	DNA	circular
Tomato mottle wrinkle virus	DNA	circular
Tomato mottle wrinkle virus	DNA	circular
Long Island tick rhabdovirus	RNA	linear
Sosuga virus	RNA	linear
Kolente virus	RNA	linear
Fikirini rhabdovirus	RNA	linear
Vesicular stomatitis Alagoas virus	RNA	linear
Sunshine Coast virus	RNA	linear
Salmon aquaparamyxovirus	RNA	linear
Berrimah virus	RNA	linear
West Caucasian bat lyssavirus	RNA	linear
Hibiscus latent Fort Pierce virus	RNA	linear
Pike fry sprivivirus	RNA	linear
Avian paraavulavirus 3	RNA	linear
Ustilaginoidea virens RNA virus M	RNA	linear
Ustilaginoidea virens RNA virus L	RNA	linear
Goutanap virus	RNA	linear
Avian orthoavulavirus 12	RNA	linear
Grass carp virus	RNA	linear
Tench rhabdovirus	RNA	linear
Xiburema virus	RNA	linear
Cedar virus	RNA	linear
Yug Bogdanovac vesiculovirus	RNA	linear
Human papillomavirus 179	DNA	linear
Bat coronavirus CDPHE15/USA/2006	RNA	linear
Porcine partetravirus	DNA	linear
Chickpea chlorosis Australia virus	DNA	circular
Moussa virus	RNA	linear
Mojiang virus	RNA	linear
Spodoptera frugiperda rhabdovirus	RNA	linear
Culex tritaeniorhynchus rhabdovirus	RNA	linear
Sclerotinia sclerotiorum negative-stranded RNA virus 1	RNA	linear
Khujand lyssavirus	RNA	linear
Almpiwar virus	RNA	linear
Boiling Springs Lake RNA-DNA hybrid virus	DNA	circular
Porcine respirovirus 1	RNA	linear
Niakha virus	RNA	linear
Achimota virus 2	RNA	linear
Achimota virus 1	RNA	linear
Malakal virus	RNA	linear
Salem virus	RNA	linear
Avian metaavulavirus 11	RNA	linear
Scophthalmus maximus rhabdovirus	RNA	linear
Tuhoko virus 1	RNA	linear
Coastal Plains virus	RNA	linear
Lyssavirus Ozernoe	RNA	linear
Avian orthoavulavirus 9	RNA	linear
Eggplant mottled dwarf nucleorhabdovirus	RNA	linear
Asian prunus virus 1	RNA	linear
Oak-Vale virus	RNA	linear
Perinet vesiculovirus	RNA	linear
Kimberley virus	RNA	linear
Dolphin rhabdovirus	RNA	linear
Sunguru virus	RNA	linear
Puerto Almendras virus	RNA	linear
Arboretum almendravirus	RNA	linear
Sweet potato leaf curl Shanghai virus	DNA	circular
Tomato yellow leaf curl Saudi virus	DNA	linear
Tomato mottle mosaic virus	RNA	linear
Suid betaherpesvirus 2	DNA	linear
Feline astrovirus 2	RNA	linear
Blueberry shock virus	RNA	linear
Blueberry shock virus	RNA	linear
Blueberry shock virus	RNA	linear
Mustela putorius papillomavirus 1	DNA	circular
Eel picornavirus 1	RNA	linear
Piper yellow mottle virus	DNA	linear
Ralstonia phage RS603	DNA	circular
Chicken orivirus 1	RNA	linear
Strawberry polerovirus 1	RNA	linear
Carrot Ch virus 2	RNA	linear
Lilac leaf chlorosis virus	RNA	linear
Lilac leaf chlorosis virus	RNA	linear
Lilac leaf chlorosis virus	RNA	linear
Cassava Ivorian bacilliform virus	RNA	linear
Cassava Ivorian bacilliform virus	RNA	linear
Cassava Ivorian bacilliform virus	RNA	linear
Carrot torradovirus 1	RNA	linear
Carrot Ch virus 1	RNA	linear
Crohivirus A	RNA	linear
Chickpea yellow dwarf virus	DNA	circular
Fako virus	RNA	linear
Fako virus	RNA	linear
Fako virus	RNA	linear
Fako virus	RNA	linear
Fako virus	RNA	linear
Fako virus	RNA	linear
Fako virus	RNA	linear
Fako virus	RNA	linear
Fako virus	RNA	linear
Cyclovirus ZM36a	DNA	circular
Felis catus papillomavirus 4	DNA	circular
Baboon endogenous virus strain M7	DNA	linear
Human endogenous retrovirus K113	DNA	linear
African elephant polyomavirus 1	DNA	circular
Tomato yellow leaf curl Axarquia virus	DNA	circular
San Miguel sea lion virus 8	RNA	linear
Norway rat pestivirus	RNA	linear
Norway rat pegivirus	RNA	linear
Norway rat hunnivirus	RNA	linear
Macrophomina phaseolina tobamo-like virus	RNA	linear
Sweet potato leaf curl Sao Paulo virus	DNA	circular
Po-Circo-like virus 21	DNA	circular
Po-Circo-like virus 51	DNA	circular
Po-Circo-like virus 41	DNA	circular
Circoviridae 1 LDMD-2013	DNA	circular
Circoviridae 5 LDMD-2013	DNA	circular
Circoviridae 21 LDMD-2013	DNA	circular
Circoviridae 19 LDMD-2013	DNA	circular
Circoviridae 16 LDMD-2013	DNA	circular
Circoviridae 15 LDMD-2013	DNA	circular
Circoviridae 14 LDMD-2013	DNA	circular
Circoviridae 13 LDMD-2013	DNA	circular
Circoviridae 11 LDMD-2013	DNA	circular
Circoviridae 10 LDMD-2013	DNA	circular
Circoviridae 9 LDMD-2013	DNA	circular
Circoviridae 8 LDMD-2013	DNA	circular
Circoviridae 7 LDMD-2013	DNA	circular
Bacillariodnavirus LDMD-2013	DNA	circular
Circoviridae 3 LDMD-2013	DNA	circular
Circoviridae 2 LDMD-2013	DNA	circular
Circoviridae 4 LDMD-2013	DNA	circular
Circoviridae 6 LDMD-2013	DNA	circular
Circoviridae 18 LDMD-2013	DNA	circular
Jatropha leaf crumple virus	DNA	circular
Faeces associated gemycircularvirus 2	DNA	circular
Blackbird associated gemycircularvirus 1	DNA	circular
Faeces associated gemycircularvirus 12	DNA	circular
Faeces associated gemycircularvirus 11	DNA	circular
Faeces associated gemycircularvirus 10	DNA	circular
Blackbird associated gemykibivirus 1	DNA	circular
Black robin associated gemykibivirus 1	DNA	circular
Torque teno mini virus ALH8	DNA	circular
Torque teno mini virus ALA22	DNA	circular
Laodelphax striatellus picorna-like virus 2	RNA	linear
Black sea bass polyomavirus 1	DNA	circular
Bat circovirus POA/2012/VI	DNA	circular
Bat circovirus POA/2012/II	DNA	circular
Wellfleet Bay virus	RNA	linear
Wellfleet Bay virus	RNA	linear
Wellfleet Bay virus	RNA	linear
Wellfleet Bay virus	RNA	linear
Wellfleet Bay virus	RNA	linear
Wellfleet Bay virus	RNA	linear
Wellfleet Bay virus	RNA	linear
Garlic virus B	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Cangyuan orthoreovirus	RNA	linear
Bovine polyomavirus 3	DNA	circular
Bovine polyomavirus 2	DNA	linear
Leopards Hill virus	RNA	linear
Leopards Hill virus	RNA	linear
Leopards Hill virus	RNA	linear
Asparagus virus 1	RNA	linear
Raccoon dog amdovirus	DNA	linear
Dinocampus coccinellae paralysis virus	RNA	linear
Switchgrass mosaic-associated virus 1	DNA	linear
Sauropus yellowing virus	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Dendrolimus punctatus cypovirus 22	RNA	linear
Fisavirus 1	RNA	linear
Delphinus delphis polyomavirus 1	DNA	circular
Chaetoceros tenuissimus RNA virus type-II	RNA	linear
Chlorocebus pygerythrus polyomavirus 3	DNA	circular
Yellow baboon polyomavirus 1	DNA	circular
Chaetoceros tenuissimus DNA virus type-II	DNA	circular
Chlorocebus pygerythrus polyomavirus 2	DNA	circular
Mastomys natalensis polyomavirus 1	DNA	circular
Slow loris parvovirus 1	DNA	linear
torchivirus A1	RNA	linear
Agrotis segetum nucleopolyhedrovirus B	DNA	circular
Dromedary stool-associated circular ssDNA virus	DNA	circular
Cosavirus JMY-2014	RNA	linear
Catharanthus yellow mosaic virus	DNA	circular
Porcine parvovirus 2	DNA	linear
Rodent Torque teno virus 2	DNA	circular
Persimmon virus B	RNA	linear
Wenzhou mammarenavirus	RNA	linear
Wenzhou mammarenavirus	RNA	linear
Tadarida brasiliensis polyomavirus 2	DNA	circular
Tadarida brasiliensis polyomavirus 1	DNA	circular
Microviridae IME-16	DNA	circular
Mulberry badnavirus 1	DNA	circular
Phomopsis vexans RNA virus	RNA	linear
Sewage-associated gemycircularvirus 5	DNA	circular
Sewage-associated circular DNA molecule-1	DNA	circular
Adelie penguin polyomavirus	DNA	circular
Seal anellovirus 4	DNA	linear
Sewage-associated gemycircularvirus 4	DNA	circular
Eimeria tenella RNA virus 1	RNA	linear
Sewage-associated circular DNA molecule-3	DNA	circular
Alternaria brassicicola betaendornavirus 1	RNA	linear
Botrytis cinerea RNA virus 1	RNA	linear
Sewage-associated gemycircularvirus-7a	DNA	circular
Sewage-associated gemycircularvirus 6	DNA	circular
Sewage derived gemycircularvirus 1	DNA	circular
Sewage-associated gemycircularvirus 9	DNA	circular
Sewage derived gemycircularvirus 2	DNA	circular
Sewage-associated gemycircularvirus-10a	DNA	circular
Sewage-associated gemycircularvirus 2	DNA	circular
Sewage-associated circular DNA molecule	DNA	circular
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Wallal virus	RNA	linear
Acheta domestica mini ambidensovirus	DNA	linear
Rhynchobatus djiddensis polyomavirus 1	DNA	circular
Bromus-associated circular DNA virus 4	DNA	circular
Bromus-associated circular DNA virus 2	DNA	circular
Bromus-associated circular DNA virus 1	DNA	circular
Rubus yellow net virus	DNA	linear
Pelargonium ringspot virus	RNA	linear
Elderberry latent virus	RNA	linear
Gairo mammarenavirus	RNA	linear
Gairo mammarenavirus	RNA	linear
Yam latent virus	RNA	linear
Oxalis yellow vein virus	DNA	circular
Human smacovirus 1	DNA	circular
Thaumetopoea pityocampa iflavirus 1	RNA	linear
Bovine picornavirus	RNA	linear
Sesavirus CSL10538	DNA	linear
Sewage-associated circular DNA virus-37	DNA	circular
Sewage-associated circular DNA virus-36	DNA	circular
Sewage-associated circular DNA virus-35	DNA	circular
Sewage-associated circular DNA virus-34	DNA	circular
Sewage-associated circular DNA virus-33	DNA	circular
Sewage-associated circular DNA virus-32	DNA	circular
Sewage-associated circular DNA virus-31	DNA	circular
Sewage-associated circular DNA virus-30	DNA	circular
Sewage-associated circular DNA virus-29	DNA	circular
Sewage-associated circular DNA virus-28	DNA	circular
Sewage-associated circular DNA virus-27	DNA	circular
Sewage-associated circular DNA virus-26	DNA	circular
Sewage-associated circular DNA virus-25	DNA	circular
Sewage-associated circular DNA virus-24	DNA	circular
Sewage-associated circular DNA virus-23	DNA	circular
Sewage-associated circular DNA virus-22	DNA	circular
Sewage-associated circular DNA virus-21	DNA	circular
Sewage-associated circular DNA virus-20	DNA	circular
Sewage-associated circular DNA virus-19	DNA	circular
Sewage-associated circular DNA virus-18	DNA	circular
Sewage-associated circular DNA virus-17	DNA	circular
Sewage-associated circular DNA virus-16	DNA	circular
Sewage-associated circular DNA virus-15	DNA	circular
Sewage-associated gemycircularvirus 1	DNA	circular
Maprik virus	RNA	linear
Maprik virus	RNA	linear
Maprik virus	RNA	linear
Trifolium-associated circular DNA virus 1	DNA	circular
Bromus-associated circular DNA virus 3	DNA	circular
Pseudoplusia includens SNPV IE	DNA	circular
Lesavirus 2	RNA	linear
Lesavirus 1	RNA	linear
Lemur associated porprismacovirus 1	DNA	circular
Gorilla associated porprismacovirus 1	DNA	circular
Human associated porprismacovirus 2	DNA	circular
Howler monkey associated porprismacovirus 1	DNA	circular
Influenza A virus (A/Shanghai/02/2013(H7N9))	RNA	linear
Influenza A virus (A/Shanghai/02/2013(H7N9))	RNA	linear
Influenza A virus (A/Shanghai/02/2013(H7N9))	RNA	linear
Influenza A virus (A/Shanghai/02/2013(H7N9))	RNA	linear
Influenza A virus (A/Shanghai/02/2013(H7N9))	RNA	linear
Influenza A virus (A/Shanghai/02/2013(H7N9))	RNA	linear
Influenza A virus (A/Shanghai/02/2013(H7N9))	RNA	linear
Influenza A virus (A/Shanghai/02/2013(H7N9))	RNA	linear
Equid gammaherpesvirus 5	DNA	linear
Condylorrhiza vestigialis MNPV	DNA	circular
Drosophila obscura sigmavirus 10A	RNA	linear
Eel virus European X	RNA	linear
Sweet potato leaf curl Sichuan virus 2	DNA	circular
Murrumbidgee virus	RNA	linear
Murrumbidgee virus	RNA	linear
Murrumbidgee virus	RNA	linear
Halyomorpha halys virus	RNA	linear
Dill cryptic virus 1	RNA	linear
Dill cryptic virus 1	RNA	linear
Red clover cryptic virus 1	RNA	linear
Red clover cryptic virus 1	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Mobuck virus	RNA	linear
Razdan virus	RNA	linear
Razdan virus	RNA	linear
Razdan virus	RNA	linear
East African cassava mosaic Malawi virus	DNA	circular
East African cassava mosaic Malawi virus	DNA	circular
Mesocricetus auratus papillomavirus 1	DNA	circular
Clostera anastomosis granulovirus Henan	DNA	circular
African bat icavirus PREDICT-06105	RNA	linear
Meles meles polyomavirus 1	DNA	circular
Yacon necrotic mottle virus	DNA	circular
Sclerotinia sclerotiorum mitovirus 1 HC025	RNA	linear
Cucurbit aphid borne yellows virus associated RNA	RNA	linear
Spodoptera frugiperda granulovirus	DNA	linear
Asystasia mosaic Madagascar virus	DNA	circular
Asystasia mosaic Madagascar virus	DNA	circular
Mosquito circovirus	DNA	circular
DeBrazza's monkey arterivirus	RNA	linear
Tall oatgrass mosaic virus	RNA	linear
Solenopsis invicta densovirus	DNA	linear
American bat vesiculovirus TFFN-2013	RNA	linear
Porcine torovirus	RNA	linear
Gyrovirus Tu789	DNA	circular
Gyrovirus Tu243	DNA	circular
Marine gokushovirus	DNA	circular
Potato black ringspot virus	RNA	linear
Potato black ringspot virus	RNA	linear
Yellow tailflower mild mottle virus	RNA	linear
Feline sakobuvirus A	RNA	linear
Feline bocaparvovirus 2	DNA	linear
uncultured phage WW-nAnB	DNA	linear
Uncultured phage WW-nAnB strain 3	DNA	circular
Uncultured phage WW-nAnB strain 2	DNA	circular
Citrus yellow vein clearing virus	RNA	linear
Tamarillo leaf malformation virus	RNA	linear
Alfalfa latent virus	RNA	linear
Mulberry vein banding virus	RNA	linear
Mulberry vein banding virus	RNA	linear
Mulberry vein banding virus	RNA	linear
Fusarium globosum mitovirus 1	RNA	linear
Avon-Heathcote Estuary associated circular virus 29	DNA	circular
Avon-Heathcote Estuary associated circular virus 28	DNA	circular
Avon-Heathcote Estuary associated circular virus 27	DNA	circular
Avon-Heathcote Estuary associated circular virus 26	DNA	circular
Avon-Heathcote Estuary associated circular virus 25	DNA	circular
Avon-Heathcote Estuary associated circular virus 24	DNA	circular
Avon-Heathcote Estuary associated circular virus 23	DNA	circular
Avon-Heathcote Estuary associated circular virus 22	DNA	circular
Avon-Heathcote Estuary associated circular virus 21	DNA	circular
Avon-Heathcote Estuary associated circular virus 20	DNA	circular
Avon-Heathcote Estuary associated circular virus 2	DNA	circular
Avon-Heathcote Estuary associated circular virus 19	DNA	circular
Avon-Heathcote Estuary associated circular virus 17	DNA	circular
Avon-Heathcote Estuary associated circular virus 16	DNA	circular
Avon-Heathcote Estuary associated circular virus 15	DNA	circular
Avon-Heathcote Estuary associated circular virus 14	DNA	circular
Avon-Heathcote Estuary associated circular virus 13	DNA	circular
Avon-Heathcote Estuary associated circular virus 12	DNA	circular
Avon-Heathcote Estuary associated circular virus 11	DNA	circular
Avon-Heathcote Estuary associated circular virus 10	DNA	circular
Avon-Heathcote Estuary associated circular virus 1	DNA	circular
Fusarium coeruleum mitovirus 1	RNA	linear
Canis familiaris papillomavirus 16	DNA	circular
Avon-Heathcote Estuary associated circular virus 9	DNA	circular
Avon-Heathcote Estuary associated circular virus 8	DNA	circular
Avon-Heathcote Estuary associated circular virus 7	DNA	circular
Avon-Heathcote Estuary associated circular virus 6	DNA	circular
Avon-Heathcote Estuary associated circular virus 5	DNA	circular
Avon-Heathcote Estuary associated circular virus 4	DNA	circular
Avon-Heathcote Estuary associated circular virus 3	DNA	circular
Simian torque teno virus 31	DNA	circular
Simian torque teno virus 32	DNA	circular
Simian torque teno virus 30	DNA	circular
Eel River basin pequenovirus	DNA	circular
Sclerotinia sclerotiorum negative-stranded RNA virus 3	RNA	linear
Graminella nigrifrons virus 1	RNA	linear
Bat polyomavirus 6a	DNA	circular
Artichoke latent virus	RNA	linear
Malvastrum yellow vein Cambodia virus	DNA	circular
Tomato enation leaf curl virus	DNA	circular
Mulberry mosaic dwarf associated virus	DNA	circular
Simian torque teno virus 34	DNA	circular
Simian torque teno virus 33	DNA	circular
Bat polyomavirus 6b	DNA	circular
Bat polyomavirus 6c	DNA	circular
Bat polyomavirus 5a	DNA	circular
Bat polyomavirus 6d	DNA	circular
Human papillomavirus 167	DNA	circular
Cherry leaf scorch small circular viroid-like RNA 1	RNA	circular
Penaeus monodon circovirus VN11	DNA	circular
Sclerotinia sclerotiorum hypovirus 2	RNA	linear
Yam spherical virus	RNA	linear
Donkey orchid symptomless virus	RNA	linear
Cardamom bushy dwarf alphasatellite	DNA	circular
Garlic virus D	RNA	linear
Olive viral satellite RNA	RNA	linear
Carnation yellow fleck virus	RNA	linear
Turnip rosette virus	RNA	linear
Butcherbird polyomavirus	DNA	circular
Hedyotis yellow mosaic betasatellite	DNA	circular
Bidens mosaic virus	RNA	linear
Lamium mild mosaic virus	RNA	linear
Lamium mild mosaic virus	RNA	linear
Porcine parvovirus 5	DNA	linear
Spinach yellow vein Sikar virus	DNA	circular
Badger associated gemykibivirus 1	DNA	linear
Wobbly possum disease virus	RNA	linear
Gemycircularvirus SL1	DNA	circular
Eulipotyphla protoparvovirus 1	DNA	linear
Plumeria mosaic virus	RNA	linear
Human genital-associated circular DNA virus-1	DNA	circular
Canine astrovirus	RNA	linear
Fusarium graminearum hypovirus 2	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Rotavirus I	RNA	linear
Taro bacilliform CH virus	DNA	circular
Mongoose feces-associated gemycircularvirus c	DNA	linear
Mongoose feces-associated gemycircularvirus d	DNA	linear
Mongoose feces-associated gemycircularvirus b	DNA	linear
Mongoose feces-associated gemycircularvirus a	DNA	linear
Chinook salmon bafinivirus	RNA	linear
Formica exsecta virus 1	RNA	linear
Formica exsecta virus 2	RNA	linear
Tomato leaf curl Gandhinagar virus	DNA	circular
Magnaporthe oryzae chrysovirus 1	RNA	linear
Magnaporthe oryzae chrysovirus 1	RNA	linear
Magnaporthe oryzae chrysovirus 1	RNA	linear
Magnaporthe oryzae chrysovirus 1	RNA	linear
Magnaporthe oryzae chrysovirus 1	RNA	linear
Tomato leaf curl Gandhinagar betasatellite	DNA	circular
Citrus endogenous pararetrovirus	DNA	circular
Pea necrotic yellow dwarf virus	DNA	circular
Pea necrotic yellow dwarf virus	DNA	circular
Pea necrotic yellow dwarf virus	DNA	circular
Pea necrotic yellow dwarf virus	DNA	circular
Pea necrotic yellow dwarf virus	DNA	circular
Pea necrotic yellow dwarf virus	DNA	circular
Pea necrotic yellow dwarf virus	DNA	circular
Pea necrotic yellow dwarf virus	DNA	circular
Falcovirus A1	RNA	linear
American hop latent virus	RNA	linear
Zucchini tigre mosaic virus	RNA	linear
Porcine pestivirus isolate Bungowannah	RNA	linear
Castor canadensis papillomavirus 1	DNA	circular
Choristoneura murinana nucleopolyhedrovirus	DNA	circular
Papaya leaf curl alphasatellite	DNA	circular
Lambdina fiscellaria nucleopolyhedrovirus	DNA	linear
Chobar Gorge virus	RNA	linear
Chobar Gorge virus	RNA	linear
Chobar Gorge virus	RNA	linear
Chobar Gorge virus	RNA	linear
Chobar Gorge virus	RNA	linear
Chobar Gorge virus	RNA	linear
Chobar Gorge virus	RNA	linear
Chobar Gorge virus	RNA	linear
Chobar Gorge virus	RNA	linear
Escherichia phage phiK	DNA	linear
Allium cepa amalgavirus 2	RNA	linear
Allium cepa amalgavirus 1	RNA	linear
Apple green crinkle associated virus	RNA	linear
Arabis mosaic virus small satellite RNA barley/CHE/1991	RNA	circular
French bean severe leaf curl virus	DNA	circular
Husavirus sp.	DNA	linear
Passerivirus sp.	RNA	linear
Mesta yellow vein mosaic alphasatellite	DNA	circular
Bhendi yellow vein mosaic virus-associated alphasatellite	DNA	circular
Mimivirus terra2	DNA	linear
Adult diarrheal rotavirus strain J19	RNA	linear
Adult diarrheal rotavirus strain J19	RNA	linear
Micromonas pusilla reovirus	RNA	linear
Finch polyomavirus	DNA	circular
Hydrangea chlorotic mottle virus	RNA	linear
Rhynchosia mild mosaic virus	DNA	circular
Rhynchosia mild mosaic virus	DNA	circular
Peruvian horse sickness virus	RNA	linear
Sugarcane bacilliform MO virus	DNA	linear
Maracuja mosaic virus	RNA	linear
Lettuce chlorosis virus	RNA	linear
Tomato yellow leaf curl Vietnam virus	DNA	circular
Avian gyrovirus 2	DNA	circular
Clostera anachoreta granulovirus	DNA	circular
Hardenbergia virus A	RNA	linear
Palyam virus	RNA	linear
Palyam virus	RNA	linear
Rice stripe tenuivirus	RNA	linear
Impatiens necrotic spot virus	RNA	linear
Porcine epidemic diarrhea virus	RNA	linear
Infectious bursal disease virus	RNA	linear
Rotavirus C	RNA	linear
Diascia yellow mottle virus	RNA	linear
Steller sea lion vesivirus	RNA	linear
Dugbe orthonairovirus	RNA	linear
Cucumber mosaic virus	RNA	linear
Andes orthohantavirus	RNA	linear
Chum salmon reovirus CS	RNA	linear
Chum salmon reovirus CS	RNA	linear
Elm mottle virus	RNA	linear
Elm mottle virus	RNA	linear
Radish leaf curl virus	DNA	circular
Tomato mild mosaic virus	DNA	circular
Melon yellow spot virus	RNA	linear
Rice gall dwarf virus	RNA	linear
Bean yellow dwarf virus	DNA	linear
Avian leukosis virus - RSA	RNA	linear
Peanut stunt virus	RNA	linear
Sus scrofa papillomavirus 1	DNA	circular
Peanut stunt virus	RNA	linear
Peanut stunt virus	RNA	linear
Citrus yellow mosaic virus	DNA	circular
Cotton leaf curl Multan virus	DNA	circular
Narcissus mosaic virus	RNA	linear
Nootka lupine vein clearing virus	RNA	linear
Mesta yellow vein mosaic virus-associated DNA beta	DNA	linear
Amasya cherry disease associated chrysovirus	RNA	linear
Amasya cherry disease associated chrysovirus	RNA	linear
Parsnip yellow fleck virus	RNA	linear
Leucania separata nucleopolyhedrovirus	DNA	circular
Groundnut bud necrosis virus	RNA	linear
